Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
1101,台泥 ,水泥工業類,7237930,7237930,-23.9236879310669,-1.19165005397107,-1.19165005397107,0.07316,30.398,1.0543456,1.04,1.66,30.817308,19.307228
1102,亞泥 ,水泥工業類,6490566,6490566,2.79746262869944,34.8130457738653,34.8130457738653,0.12033,47.41,0.84475845,3.06,3.23,13.088235,12.399381
1103,嘉泥 ,水泥工業類,242960,242960,-14.2329646744023,27.0598325462694,27.0598325462694,0.061279997,32.161,0.55035603,0.27,0.43,65.55556,41.162792
1104,環泥 ,水泥工業類,680762,680762,-8.31241245555436,34.9705974487388,34.9705974487388,0.29563,32.658,0.93851423,3.33,2.83,9.204205,10.830389
1108,幸福 ,水泥工業類,457149,457149,1.7039311219382,55.0177856297537,55.0177856297537,0.15227,12.364,1.2819476,1.83,,8.661202,
1109,信大 ,水泥工業類,466562,466562,-18.0263580955125,56.5591758665816,56.5591758665816,0.091479994,23.343,0.7603992,1.69,1.26,10.502958,14.087301
1110,東泥 ,水泥工業類,180539,180539,-14.5405832706135,30.9458704750024,30.9458704750024,0.12027001,15.627,1.1518526,0.47,,38.29787,
1201,味全 ,食品工業類,1822467,1822467,4.96050303627869,14.973005300525,14.973005300525,0.00674,14.608,1.3075027,0.27,,70.74074,
1203,味王 ,食品工業類,560943,560943,0.268303059119623,8.79021137700511,8.79021137700511,0.06386,23.649,2.2749376,1.72,1.78,31.279068,30.22472
1210,大成 ,食品工業類,9474385,9474385,2.20303640929606,3.0827496494415,3.0827496494415,0.03275,27.066,2.1687727,4.39,4.8,13.371299,12.229166
1213,大飲 ,食品工業類,10917,10917,209.877944933295,-65.32634587899,-65.32634587899,-0.54603,4.751,1.4965271,-1.97,,,
1215,卜蜂 ,食品工業類,2504897,2504897,4.02711543996143,5.71045622795235,5.71045622795235,0.06856,31.299,3.1087255,6.89,8.52,14.121917,11.420188
1216,統一 ,食品工業類,58667213,58667213,19.3045473257176,27.7720841082983,27.7720841082983,0.03438,22.311,3.4153554,3.39,3.92,22.477875,19.438774
1217,愛之味 ,食品工業類,462585,462585,48.4175976488555,3.26756677114308,3.26756677114308,0.03303,13.706,0.8572888,0.33,,35.60606,
1218,泰山 ,食品工業類,1102854,1102854,46.4047758435983,13.2680885764846,13.2680885764846,0.46558,24.602,0.869848,10.51,1.22,2.036156,17.540983
1219,福壽 ,食品工業類,1332025,1332025,8.49167635227205,-0.197279003310211,-0.197279003310211,0.0149300005,13.453,1.4011744,0.75,,25.133333,
1220,台榮 ,食品工業類,288895,288895,-7.86053498585512,55.7385444743935,55.7385444743935,0.02349,12.771,1.0844883,0.45,0.71,30.777779,19.507044
1225,福懋油 ,食品工業類,1283395,1283395,8.67820068032107,12.9292829745728,12.9292829745728,0.01756,14.733,3.7263288,1.15,,47.739132,
1227,佳格 ,食品工業類,3409425,3409425,15.0315597266308,37.1544462631983,37.1544462631983,0.04127,19.144,1.9640619,1.31,2.7,28.70229,13.925925
1229,聯華 ,食品工業類,1061632,1061632,-42.1776621656362,30.4575214801125,30.4575214801125,0.32272997,27.233,2.4235303,2.53,2.93,26.086956,22.525597
1231,聯華食 ,食品工業類,1113178,1113178,-4.19882836603793,7.77199363733794,7.77199363733794,0.0691,21.447,4.051849,3.08,,28.214287,
1232,大統益 ,食品工業類,2119258,2119258,5.62363687834675,3.39094680722351,3.39094680722351,0.05114,33.744,4.282243,7.52,,19.215425,
1233,天仁 ,食品工業類,208014,208014,-0.364030003736097,-0.552185075226253,-0.552185075226253,0.05016,16.1,2.1708074,1.16,,30.129313,
1234,黑松 ,食品工業類,1068204,1068204,39.990800114802,2.30281020419304,2.30281020419304,0.09147,45.776,0.8770972,2.39,,16.799164,
1235,興泰 ,食品工業類,5435,5435,-59.9070522277958,248.397435897436,248.397435897436,1.2557701,47.061,1.7849175,1.83,,45.901638,
1236,宏亞 ,食品工業類,344600,344600,57.9198210914157,56.0794438027946,56.0794438027946,0.01808,27.666,0.87652713,0.16,,151.5625,
1256,鮮活果汁-KY ,,,,,,,0.10922,114.435,2.193385,14.75,12.34,17.016949,20.340357
1301,台塑 ,塑膠工業類,17516214,17516214,16.5405290752959,21.5716869968468,21.5716869968468,0.01406,54.949,1.2884675,0.44,3.21,160.9091,22.056076
1303,南亞 ,塑膠工業類,20392952,20392952,1.12246547990838,0.508254678156956,0.508254678156956,0.02021,46.051,1.2594732,0.7,3.04,82.85715,19.078947
1304,台聚 ,塑膠工業類,4365601,4365601,-0.156411523085508,11.0395790793098,11.0395790793098,0.01196,22.308,0.8046441,0.61,0.98,29.42623,18.316326
1305,華夏 ,塑膠工業類,1068566,1068566,4.85872668055538,-16.374550007826,-16.374550007826,0.02345,16.619,1.1974247,0.56,1.25,35.535713,15.92
1307,三芳 ,塑膠工業類,999146,999146,32.5874664101118,26.4749776897322,26.4749776897322,0.06756,22.975,1.1730142,1.7,1.06,15.8529415,25.42453
1308,亞聚 ,塑膠工業類,578883,578883,-7.72228837591878,27.5148522048668,27.5148522048668,0.07551,23.023,0.94036394,0.95,0.98,22.789474,22.091835
