Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
1240,茂生農經,農業科技                    ,274994,274994,1.80099137819338,11.4897792048781,11.4897792048781,0.03633,32.438,1.5352365,2.79,,17.849463,
1259,安心,觀光餐旅                    ,494412,494412,0.813790600320949,-6.03301308549762,-6.03301308549762,0.029679999,74.95,0.99933296,5.24,,14.293894,
1264,德麥,食品工業                    ,680468,680468,14.2984800358785,61.3726210944448,61.3726210944448,0.11564,81.43,3.7209873,18.75,,16.16,
1268,漢來美食,觀光餐旅                    ,555632,555632,10.9242959328104,-4.50104843422364,-4.50104843422364,0.085389994,47.364,3.1775188,9.29,,16.200216,
1336,台翰,電子零組件業                  ,201031,201031,12.1511854951185,15.6839839793757,15.6839839793757,0.037920002,23.158,0.96079105,1.21,,18.38843,
1565,精華,生技醫療業                   ,406435,406435,6.6383476677494,21.7925090872042,21.7925090872042,0.1402,119.544,1.664659,12.03,20.11,16.541979,9.895574
1569,濱川,電腦及週邊設備業                ,223263,223263,-4.93581145813374,-26.6648491338252,-26.6648491338252,-0.01699,27.355,0.91756535,-0.53,,,
1570,力肯,電機機械                    ,34989,34989,-14.9720534629405,37.109604608331,37.109604608331,0.12827,17.366,1.49142,1.37,,18.90511,
1580,新麥,電機機械                    ,404707,404707,-9.90855219514801,67.518802594489,67.518802594489,0.124,55.229,2.8064966,10.72,,14.458955,
1584,精剛,其他                      ,205470,205470,-15.9614716047363,38.5530388342313,38.5530388342313,0.09797,17.644,1.9525052,1.53,,22.51634,
1586,和勤,電機機械                    ,245383,245383,6.07166168835941,96.2216322548659,96.2216322548659,-0.04132,18.06,1.8133998,-1.1,2.19,,14.954337
1591,駿吉-KY,,,,,,,-0.12184,13.082,4.8998623,-0.63,,,
1593,祺驊,運動休閒                    ,107717,107717,-4.94188868395739,28.8157281065761,28.8157281065761,0.17464,32.736,1.603739,4.92,,10.670732,
1595,川寶,電子零組件業                  ,89536,89536,41.1304813845717,-18.7284989425337,-18.7284989425337,0.08416,55.509,0.6521465,2.75,,13.163636,
1599,宏佳騰,電機機械                    ,100208,100208,-37.6008767560028,49.9222022740874,49.9222022740874,0.03814,27.11,1.2799705,1.24,,27.983871,
1742,台蠟,化學工業                    ,20235,20235,63.7268387409985,-2.41138172172655,-2.41138172172655,-0.08495,15.023,1.1149571,-0.34,,,
1777,生泰,生技醫療業                   ,81658,81658,-7.76650778232092,-18.0140562248996,-18.0140562248996,0.25876,49.305,1.6854274,6.03,,13.781094,
1781,合世,生技醫療業                   ,125522,125522,128.213519508382,100.331966101154,100.331966101154,-0.048839998,7.242,2.437172,-0.85,,,
1784,訊聯,生技醫療業                   ,102379,102379,-0.565262575149814,48.9690796653329,48.9690796653329,0.0758,23.983,2.614352,1.78,,35.22472,
1785,光洋科,其他電子業                   ,2790305,2790305,31.0582572472226,79.3339276199976,79.3339276199976,0.05302,21.676,2.0691085,2,2.77,22.425,16.191336
1788,杏昌,生技醫療業                   ,366901,366901,5.06209499374325,7.80710543559065,7.80710543559065,0.08513,63.26,2.205185,7.83,,17.816092,
1796,金穎生技,食品工業                    ,50962,50962,-13.3976820854434,-7.62565933767152,-7.62565933767152,0.15986,20.388,2.9478123,2.89,,20.795847,
1799,易威,生技醫療業                   ,10563,10563,-84.3871940404399,-17.8296382730455,-17.8296382730455,-0.60575,5.607,11.414304,-1.39,,,
1813,寶利徠,生技醫療業                   ,28916,28916,18.2755235602094,25.5252648029172,25.5252648029172,-0.01273,17.252,1.1534894,-0.1,,,
1815,富喬,電子零組件業                  ,265955,265955,30.7540277579756,-16.4357263152603,-16.4357263152603,-0.10627,15.317,1.2763596,-0.83,,,
2035,唐榮,鋼鐵工業                    ,933527,933527,27.828579096695,17.6048113905186,17.6048113905186,-0.06524,14.384,2.2803113,-3.2,,,
2061,風青,電器電纜                    ,87302,87302,3.24388888231885,63.812061395279,63.812061395279,-0.07789,10.393,1.597229,-1.48,,,
2063,世鎧,鋼鐵工業                    ,105249,105249,-2.99184294207106,2.95918766630146,2.95918766630146,0.16729,22.354,2.4290955,4.96,,10.94758,
2064,晉椿,鋼鐵工業                    ,134557,134557,16.2810995791457,28.1507442928028,28.1507442928028,-0.06145,15.322,1.0507767,-1.34,,,
2065,世豐,鋼鐵工業                    ,210172,210172,0.236077395231714,5.42441236368744,5.42441236368744,0.12577,31.94,2.0851595,4.26,5.51,15.633801,12.087113
2066,世德,電機機械                    ,241556,241556,6.13507445308072,0.526026667554475,0.526026667554475,0.11598,43.712,2.2693996,8.27,,11.995162,
2067,嘉鋼,電機機械                    ,82098,82098,0.863689415811782,14.6844355041489,14.6844355041489,-0.01131,8.522,1.5254635,-0.32,,,
2070,精湛,電機機械                    ,48882,48882,-51.8475102201645,55.2598145089569,55.2598145089569,0.09729999,23.359,1.4662443,1.66,,20.63253,
2073,雄順,鋼鐵工業                    ,48591,48591,8.27595427501838,56.407120095278,56.407120095278,,,,0.94,,31.914894,
2221,大甲,其他                      ,102406,102406,-28.6915952928069,4.13992983169777,4.13992983169777,0.11368,21.954,1.6101848,4.01,,8.81546,
2230,泰茂,電機機械                    ,103494,103494,31.2892463433508,326.4452593844,326.4452593844,0.10448,16.708,11.431649,1.18,,161.86441,
2235,謚源,電機機械                    ,43782,43782,-18.7838539734362,30.6106619730915,30.6106619730915,0.10416,36.084,1.272032,1.58,,29.050632,
2596,綠意,建材營造                    ,53799,53799,-15.0765588003157,426.872980119479,426.872980119479,-0.06686,19.465,1.5900334,-0.16,,,
2640,大車隊,數位雲端                    ,276783,276783,-1.69661883790311,19.1776752036651,19.1776752036651,0.14021,28.578,3.744139,6.37,,16.79749,
2641,正德,航運業                     ,133823,133823,-4.36432501965268,59.4478666491916,59.4478666491916,0.59733003,22.256,0.95255214,2.78,,7.6259,
2643,捷迅,航運業                     ,356328,356328,-39.035248305337,12.3800753136492,12.3800753136492,0.057600003,55.482,1.2832991,7.02,,10.142449,
2718,晶悅,建材營造                    ,91349,91349,50.7359493086037,1139.80727470141,1139.80727470141,0.31584,26.298,2.9089665,7.83,,9.770115,
2719,燦星旅,觀光餐旅                    ,162534,162534,25.8753281754606,485.687002270188,485.687002270188,-0.00366,7.602,6.9192314,0.09,,584.4444,
2724,藝舍-KY,,,,,,,-1.00847,3.993,3.6939645,-0.11,,,
2726,雅茗-KY,,,,,,,-0.21722001,8.195,3.2824893,-4.64,,,
2729,瓦城,觀光餐旅                    ,447827,447827,-9.03519747800158,-31.362881175129,-31.362881175129,0.07423,70.638,3.2914295,11.64,,19.974226,
2732,六角,觀光餐旅                    ,334672,334672,-10.4982777433089,1.70020998125059,1.70020998125059,0.082729995,40.29,3.3879373,7.78,,17.544987,
2734,易飛網,觀光餐旅                    ,211060,211060,10.7978854644051,75.8071502348982,75.8071502348982,-0.00245,7.696,4.9636173,-0.16,,,
2736,富野,觀光餐旅                    ,23300,23300,-32.9631441148546,-67.1358853564276,-67.1358853564276,0.07802,23.816,1.0665098,0.99,,25.656565,
2740,天蔥,觀光餐旅                    ,14275,14275,-13.0474508131815,-2.69920250834981,-2.69920250834981,-0.36931,7.195,5.0034747,-2.41,,,
2743,山富,觀光餐旅                    ,455435,455435,6.76351378278084,77.3072700516231,77.3072700516231,0.06364,19.665,5.822527,3.98,,28.768845,
2745,五福,觀光餐旅                    ,495071,495071,26.63119796396,150.147035045879,150.147035045879,0.04077,14.934,5.316727,2.54,,31.259844,
2752,豆府,觀光餐旅                    ,273380,273380,-3.30977795697784,-6.81265040938623,-6.81265040938623,0.13479,37.9,7.242744,14.78,,18.572395,
2754,亞洲藏壽司,觀光餐旅                    ,459983,459983,9.73243381219793,0.566252653626094,0.566252653626094,0.053740002,34.994,3.229125,5.56,8.11,20.323742,13.933416
2755,揚秦,觀光餐旅                    ,207125,207125,8.99422731841312,27.7563608326908,27.7563608326908,0.05829,22.693,4.494778,3.81,,26.771654,
2756,聯發國際,觀光餐旅                    ,64746,64746,1.08191653786708,31.6778523489933,31.6778523489933,0.16472,22.365,4.024145,5.26,,17.110266,
2916,滿心,居家生活                    ,189172,189172,-4.03546951964977,-20.244193449106,-20.244193449106,0.14247,18.591,2.7916734,4.7,,11.042554,
2924,宏太-KY,,,,,,,-0.79235,5.116,4.9061766,-1,,,
2926,誠品生活,文化創意業                   ,553601,553601,-21.5504805307803,3.34720378739936,3.34720378739936,-0.01944,11.696,5.129959,-2.7,,,
2937,集雅社,居家生活                    ,430684,430684,-3.15287662607796,26.7030678167547,26.7030678167547,0.02888,22.648,1.5277286,2.66,,13.007518,
2947,振宇五金,居家生活                    ,186510,186510,5.92464703142925,15.2968812783977,15.2968812783977,0.02026,37.531,1.9850258,2.01,3.46,37.06468,21.531792
2948,寶陞,居家生活                    ,161213,161213,5.32460490124981,4.41797502461267,4.41797502461267,0.04538,32.495,2.049546,3.91,,17.033247,
2949,欣新網,數位雲端                    ,340065,340065,2.36446825802956,16.9174754778088,16.9174754778088,0.032,31.118,3.5670674,6.34,,17.507887,
